,pop,ZCTA5CE10
"ZCTA5 61067: Summary level: unknown, state:17> zip code tabulation area:61067",733,61067
"ZCTA5 61068: Summary level: unknown, state:17> zip code tabulation area:61068",14246,61068
"ZCTA5 61007: Summary level: unknown, state:17> zip code tabulation area:61007",502,61007
"ZCTA5 61008: Summary level: unknown, state:17> zip code tabulation area:61008",33935,61008
"ZCTA5 61010: Summary level: unknown, state:17> zip code tabulation area:61010",7650,61010
"ZCTA5 61015: Summary level: unknown, state:17> zip code tabulation area:61015",1049,61015
"ZCTA5 61036: Summary level: unknown, state:17> zip code tabulation area:61036",6414,61036
"ZCTA5 61039: Summary level: unknown, state:17> zip code tabulation area:61039",953,61039
"ZCTA5 61044: Summary level: unknown, state:17> zip code tabulation area:61044",272,61044
"ZCTA5 61046: Summary level: unknown, state:17> zip code tabulation area:61046",2330,61046
"ZCTA5 61081: Summary level: unknown, state:17> zip code tabulation area:61081",21121,61081
"ZCTA5 61087: Summary level: unknown, state:17> zip code tabulation area:61087",1563,61087
"ZCTA5 61091: Summary level: unknown, state:17> zip code tabulation area:61091",67,61091
"ZCTA5 61114: Summary level: unknown, state:17> zip code tabulation area:61114",15958,61114
"ZCTA5 61231: Summary level: unknown, state:17> zip code tabulation area:61231",5216,61231
"ZCTA5 61238: Summary level: unknown, state:17> zip code tabulation area:61238",3369,61238
"ZCTA5 61241: Summary level: unknown, state:17> zip code tabulation area:61241",7035,61241
"ZCTA5 61244: Summary level: unknown, state:17> zip code tabulation area:61244",23361,61244
"ZCTA5 61251: Summary level: unknown, state:17> zip code tabulation area:61251",357,61251
"ZCTA5 61265: Summary level: unknown, state:17> zip code tabulation area:61265",43472,61265
"ZCTA5 61272: Summary level: unknown, state:17> zip code tabulation area:61272",1170,61272
"ZCTA5 61281: Summary level: unknown, state:17> zip code tabulation area:61281",2460,61281
"ZCTA5 61301: Summary level: unknown, state:17> zip code tabulation area:61301",9807,61301
"ZCTA5 62010: Summary level: unknown, state:17> zip code tabulation area:62010",11409,62010
"ZCTA5 62015: Summary level: unknown, state:17> zip code tabulation area:62015",690,62015
"ZCTA5 62040: Summary level: unknown, state:17> zip code tabulation area:62040",42149,62040
"ZCTA5 62050: Summary level: unknown, state:17> zip code tabulation area:62050",376,62050
"ZCTA5 62067: Summary level: unknown, state:17> zip code tabulation area:62067",2202,62067
"ZCTA5 62074: Summary level: unknown, state:17> zip code tabulation area:62074",1068,62074
"ZCTA5 62079: Summary level: unknown, state:17> zip code tabulation area:62079",323,62079
"ZCTA5 62089: Summary level: unknown, state:17> zip code tabulation area:62089",439,62089
"ZCTA5 62094: Summary level: unknown, state:17> zip code tabulation area:62094",1104,62094
"ZCTA5 62242: Summary level: unknown, state:17> zip code tabulation area:62242",1365,62242
"ZCTA5 62260: Summary level: unknown, state:17> zip code tabulation area:62260",7537,62260
"ZCTA5 62263: Summary level: unknown, state:17> zip code tabulation area:62263",4912,62263
"ZCTA5 62265: Summary level: unknown, state:17> zip code tabulation area:62265",4072,62265
"ZCTA5 62278: Summary level: unknown, state:17> zip code tabulation area:62278",6426,62278
"ZCTA5 62284: Summary level: unknown, state:17> zip code tabulation area:62284",574,62284
"ZCTA5 62285: Summary level: unknown, state:17> zip code tabulation area:62285",4510,62285
"ZCTA5 62289: Summary level: unknown, state:17> zip code tabulation area:62289",330,62289
"ZCTA5 62295: Summary level: unknown, state:17> zip code tabulation area:62295",1493,62295
"ZCTA5 62311: Summary level: unknown, state:17> zip code tabulation area:62311",701,62311
"ZCTA5 61565: Summary level: unknown, state:17> zip code tabulation area:61565",1460,61565
"ZCTA5 61610: Summary level: unknown, state:17> zip code tabulation area:61610",5213,61610
"ZCTA5 61812: Summary level: unknown, state:17> zip code tabulation area:61812",387,61812
"ZCTA5 61815: Summary level: unknown, state:17> zip code tabulation area:61815",261,61815
"ZCTA5 61820: Summary level: unknown, state:17> zip code tabulation area:61820",38393,61820
"ZCTA5 61843: Summary level: unknown, state:17> zip code tabulation area:61843",2494,61843
"ZCTA5 61844: Summary level: unknown, state:17> zip code tabulation area:61844",755,61844
"ZCTA5 61850: Summary level: unknown, state:17> zip code tabulation area:61850",450,61850
"ZCTA5 61857: Summary level: unknown, state:17> zip code tabulation area:61857",144,61857
"ZCTA5 61858: Summary level: unknown, state:17> zip code tabulation area:61858",2980,61858
"ZCTA5 61863: Summary level: unknown, state:17> zip code tabulation area:61863",872,61863
"ZCTA5 61866: Summary level: unknown, state:17> zip code tabulation area:61866",14163,61866
"ZCTA5 61910: Summary level: unknown, state:17> zip code tabulation area:61910",4477,61910
"ZCTA5 61913: Summary level: unknown, state:17> zip code tabulation area:61913",1410,61913
"ZCTA5 61741: Summary level: unknown, state:17> zip code tabulation area:61741",1643,61741
"ZCTA5 61742: Summary level: unknown, state:17> zip code tabulation area:61742",1263,61742
"ZCTA5 61750: Summary level: unknown, state:17> zip code tabulation area:61750",135,61750
"ZCTA5 61759: Summary level: unknown, state:17> zip code tabulation area:61759",1588,61759
"ZCTA5 61814: Summary level: unknown, state:17> zip code tabulation area:61814",1072,61814
"ZCTA5 61834: Summary level: unknown, state:17> zip code tabulation area:61834",8625,61834
"ZCTA5 61845: Summary level: unknown, state:17> zip code tabulation area:61845",324,61845
"ZCTA5 61846: Summary level: unknown, state:17> zip code tabulation area:61846",4900,61846
"ZCTA5 61851: Summary level: unknown, state:17> zip code tabulation area:61851",334,61851
"ZCTA5 61873: Summary level: unknown, state:17> zip code tabulation area:61873",6308,61873
"ZCTA5 61874: Summary level: unknown, state:17> zip code tabulation area:61874",7982,61874
"ZCTA5 61875: Summary level: unknown, state:17> zip code tabulation area:61875",986,61875
"ZCTA5 61924: Summary level: unknown, state:17> zip code tabulation area:61924",2299,61924
"ZCTA5 61930: Summary level: unknown, state:17> zip code tabulation area:61930",859,61930
"ZCTA5 61931: Summary level: unknown, state:17> zip code tabulation area:61931",1190,61931
"ZCTA5 61936: Summary level: unknown, state:17> zip code tabulation area:61936",297,61936
"ZCTA5 61942: Summary level: unknown, state:17> zip code tabulation area:61942",898,61942
"ZCTA5 61364: Summary level: unknown, state:17> zip code tabulation area:61364",18908,61364
"ZCTA5 61322: Summary level: unknown, state:17> zip code tabulation area:61322",1601,61322
"ZCTA5 61332: Summary level: unknown, state:17> zip code tabulation area:61332",125,61332
"ZCTA5 61349: Summary level: unknown, state:17> zip code tabulation area:61349",948,61349
"ZCTA5 61418: Summary level: unknown, state:17> zip code tabulation area:61418",576,61418
"ZCTA5 61419: Summary level: unknown, state:17> zip code tabulation area:61419",118,61419
"ZCTA5 61424: Summary level: unknown, state:17> zip code tabulation area:61424",119,61424
"ZCTA5 61427: Summary level: unknown, state:17> zip code tabulation area:61427",2174,61427
"ZCTA5 61435: Summary level: unknown, state:17> zip code tabulation area:61435",23,61435
"ZCTA5 61477: Summary level: unknown, state:17> zip code tabulation area:61477",511,61477
"ZCTA5 61478: Summary level: unknown, state:17> zip code tabulation area:61478",293,61478
"ZCTA5 61535: Summary level: unknown, state:17> zip code tabulation area:61535",2003,61535
"ZCTA5 61539: Summary level: unknown, state:17> zip code tabulation area:61539",173,61539
"ZCTA5 61567: Summary level: unknown, state:17> zip code tabulation area:61567",506,61567
"ZCTA5 61704: Summary level: unknown, state:17> zip code tabulation area:61704",36612,61704
"ZCTA5 62932: Summary level: unknown, state:17> zip code tabulation area:62932",1400,62932
"ZCTA5 62934: Summary level: unknown, state:17> zip code tabulation area:62934",720,62934
"ZCTA5 62948: Summary level: unknown, state:17> zip code tabulation area:62948",13248,62948
"ZCTA5 62959: Summary level: unknown, state:17> zip code tabulation area:62959",28115,62959
"ZCTA5 62985: Summary level: unknown, state:17> zip code tabulation area:62985",610,62985
"ZCTA5 62998: Summary level: unknown, state:17> zip code tabulation area:62998",316,62998
"ZCTA5 62226: Summary level: unknown, state:17> zip code tabulation area:62226",28914,62226
"ZCTA5 62885: Summary level: unknown, state:17> zip code tabulation area:62885",659,62885
"ZCTA5 62851: Summary level: unknown, state:17> zip code tabulation area:62851",150,62851
"ZCTA5 62852: Summary level: unknown, state:17> zip code tabulation area:62852",57,62852
"ZCTA5 62878: Summary level: unknown, state:17> zip code tabulation area:62878",483,62878
"ZCTA5 62888: Summary level: unknown, state:17> zip code tabulation area:62888",2070,62888
"ZCTA5 62890: Summary level: unknown, state:17> zip code tabulation area:62890",2737,62890
"ZCTA5 62891: Summary level: unknown, state:17> zip code tabulation area:62891",715,62891
"ZCTA5 62906: Summary level: unknown, state:17> zip code tabulation area:62906",6582,62906
"ZCTA5 62012: Summary level: unknown, state:17> zip code tabulation area:62012",6510,62012
"ZCTA5 62032: Summary level: unknown, state:17> zip code tabulation area:62032",749,62032
"ZCTA5 62075: Summary level: unknown, state:17> zip code tabulation area:62075",3595,62075
"ZCTA5 62087: Summary level: unknown, state:17> zip code tabulation area:62087",2073,62087
"ZCTA5 62201: Summary level: unknown, state:17> zip code tabulation area:62201",6853,62201
"ZCTA5 62204: Summary level: unknown, state:17> zip code tabulation area:62204",8133,62204
"ZCTA5 62219: Summary level: unknown, state:17> zip code tabulation area:62219",1170,62219
"ZCTA5 62025: Summary level: unknown, state:17> zip code tabulation area:62025",34960,62025
"ZCTA5 62027: Summary level: unknown, state:17> zip code tabulation area:62027",589,62027
"ZCTA5 62030: Summary level: unknown, state:17> zip code tabulation area:62030",203,62030
"ZCTA5 62031: Summary level: unknown, state:17> zip code tabulation area:62031",800,62031
"ZCTA5 62035: Summary level: unknown, state:17> zip code tabulation area:62035",16080,62035
"ZCTA5 62045: Summary level: unknown, state:17> zip code tabulation area:62045",533,62045
"ZCTA5 62046: Summary level: unknown, state:17> zip code tabulation area:62046",709,62046
"ZCTA5 62048: Summary level: unknown, state:17> zip code tabulation area:62048",1965,62048
"ZCTA5 62052: Summary level: unknown, state:17> zip code tabulation area:62052",12418,62052
"ZCTA5 62069: Summary level: unknown, state:17> zip code tabulation area:62069",3184,62069
"ZCTA5 62088: Summary level: unknown, state:17> zip code tabulation area:62088",6647,62088
"ZCTA5 62915: Summary level: unknown, state:17> zip code tabulation area:62915",431,62915
"ZCTA5 62887: Summary level: unknown, state:17> zip code tabulation area:62887",497,62887
"ZCTA5 62897: Summary level: unknown, state:17> zip code tabulation area:62897",406,62897
"ZCTA5 62916: Summary level: unknown, state:17> zip code tabulation area:62916",938,62916
"ZCTA5 62920: Summary level: unknown, state:17> zip code tabulation area:62920",3219,62920
"ZCTA5 62930: Summary level: unknown, state:17> zip code tabulation area:62930",5915,62930
"ZCTA5 62933: Summary level: unknown, state:17> zip code tabulation area:62933",1160,62933
"ZCTA5 62655: Summary level: unknown, state:17> zip code tabulation area:62655",367,62655
"ZCTA5 62670: Summary level: unknown, state:17> zip code tabulation area:62670",2784,62670
"ZCTA5 62677: Summary level: unknown, state:17> zip code tabulation area:62677",2295,62677
"ZCTA5 62690: Summary level: unknown, state:17> zip code tabulation area:62690",3957,62690
"ZCTA5 62695: Summary level: unknown, state:17> zip code tabulation area:62695",200,62695
"ZCTA5 62806: Summary level: unknown, state:17> zip code tabulation area:62806",3419,62806
"ZCTA5 62828: Summary level: unknown, state:17> zip code tabulation area:62828",1376,62828
"ZCTA5 62867: Summary level: unknown, state:17> zip code tabulation area:62867",486,62867
"ZCTA5 62875: Summary level: unknown, state:17> zip code tabulation area:62875",1110,62875
"ZCTA5 62879: Summary level: unknown, state:17> zip code tabulation area:62879",78,62879
"ZCTA5 62880: Summary level: unknown, state:17> zip code tabulation area:62880",712,62880
"ZCTA5 62884: Summary level: unknown, state:17> zip code tabulation area:62884",2637,62884
"ZCTA5 62889: Summary level: unknown, state:17> zip code tabulation area:62889",885,62889
"ZCTA5 62908: Summary level: unknown, state:17> zip code tabulation area:62908",561,62908
"ZCTA5 62367: Summary level: unknown, state:17> zip code tabulation area:62367",1021,62367
"ZCTA5 62373: Summary level: unknown, state:17> zip code tabulation area:62373",203,62373
"ZCTA5 62375: Summary level: unknown, state:17> zip code tabulation area:62375",335,62375
"ZCTA5 62425: Summary level: unknown, state:17> zip code tabulation area:62425",431,62425
"ZCTA5 62433: Summary level: unknown, state:17> zip code tabulation area:62433",994,62433
"ZCTA5 62443: Summary level: unknown, state:17> zip code tabulation area:62443",1538,62443
"ZCTA5 62445: Summary level: unknown, state:17> zip code tabulation area:62445",1278,62445
"ZCTA5 62458: Summary level: unknown, state:17> zip code tabulation area:62458",2077,62458
"ZCTA5 62460: Summary level: unknown, state:17> zip code tabulation area:62460",1297,62460
"ZCTA5 62521: Summary level: unknown, state:17> zip code tabulation area:62521",35261,62521
"ZCTA5 62537: Summary level: unknown, state:17> zip code tabulation area:62537",80,62537
"ZCTA5 62539: Summary level: unknown, state:17> zip code tabulation area:62539",1247,62539
"ZCTA5 62540: Summary level: unknown, state:17> zip code tabulation area:62540",1549,62540
"ZCTA5 62546: Summary level: unknown, state:17> zip code tabulation area:62546",1740,62546
"ZCTA5 62325: Summary level: unknown, state:17> zip code tabulation area:62325",501,62325
"ZCTA5 62336: Summary level: unknown, state:17> zip code tabulation area:62336",21,62336
"ZCTA5 62347: Summary level: unknown, state:17> zip code tabulation area:62347",1992,62347
"ZCTA5 62354: Summary level: unknown, state:17> zip code tabulation area:62354",1484,62354
"ZCTA5 62357: Summary level: unknown, state:17> zip code tabulation area:62357",462,62357
"ZCTA5 62374: Summary level: unknown, state:17> zip code tabulation area:62374",337,62374
"ZCTA5 62378: Summary level: unknown, state:17> zip code tabulation area:62378",1047,62378
"ZCTA5 62422: Summary level: unknown, state:17> zip code tabulation area:62422",1014,62422
"ZCTA5 62426: Summary level: unknown, state:17> zip code tabulation area:62426",891,62426
"ZCTA5 62431: Summary level: unknown, state:17> zip code tabulation area:62431",1030,62431
"ZCTA5 62434: Summary level: unknown, state:17> zip code tabulation area:62434",365,62434
"ZCTA5 62436: Summary level: unknown, state:17> zip code tabulation area:62436",713,62436
"ZCTA5 62241: Summary level: unknown, state:17> zip code tabulation area:62241",878,62241
"ZCTA5 62348: Summary level: unknown, state:17> zip code tabulation area:62348",155,62348
"ZCTA5 62349: Summary level: unknown, state:17> zip code tabulation area:62349",695,62349
"ZCTA5 62362: Summary level: unknown, state:17> zip code tabulation area:62362",303,62362
"ZCTA5 62615: Summary level: unknown, state:17> zip code tabulation area:62615",5519,62615
"ZCTA5 62626: Summary level: unknown, state:17> zip code tabulation area:62626",7603,62626
"ZCTA5 62628: Summary level: unknown, state:17> zip code tabulation area:62628",735,62628
"ZCTA5 62629: Summary level: unknown, state:17> zip code tabulation area:62629",14597,62629
"ZCTA5 62649: Summary level: unknown, state:17> zip code tabulation area:62649",603,62649
"ZCTA5 62664: Summary level: unknown, state:17> zip code tabulation area:62664",3182,62664
"ZCTA5 62667: Summary level: unknown, state:17> zip code tabulation area:62667",486,62667
"ZCTA5 62704: Summary level: unknown, state:17> zip code tabulation area:62704",40672,62704
"ZCTA5 62801: Summary level: unknown, state:17> zip code tabulation area:62801",21185,62801
"ZCTA5 61720: Summary level: unknown, state:17> zip code tabulation area:61720",215,61720
"ZCTA5 61726: Summary level: unknown, state:17> zip code tabulation area:61726",2476,61726
"ZCTA5 61316: Summary level: unknown, state:17> zip code tabulation area:61316",250,61316
"ZCTA5 61006: Summary level: unknown, state:17> zip code tabulation area:61006",1841,61006
"ZCTA5 61020: Summary level: unknown, state:17> zip code tabulation area:61020",3040,61020
"ZCTA5 61028: Summary level: unknown, state:17> zip code tabulation area:61028",1986,61028
"ZCTA5 62935: Summary level: unknown, state:17> zip code tabulation area:62935",1994,62935
"ZCTA5 62964: Summary level: unknown, state:17> zip code tabulation area:62964",1168,62964
"ZCTA5 62970: Summary level: unknown, state:17> zip code tabulation area:62970",685,62970
"ZCTA5 62983: Summary level: unknown, state:17> zip code tabulation area:62983",1476,62983
"ZCTA5 62994: Summary level: unknown, state:17> zip code tabulation area:62994",678,62994
"ZCTA5 62060: Summary level: unknown, state:17> zip code tabulation area:62060",4135,62060
"ZCTA5 62022: Summary level: unknown, state:17> zip code tabulation area:62022",1103,62022
"ZCTA5 62036: Summary level: unknown, state:17> zip code tabulation area:62036",706,62036
"ZCTA5 62054: Summary level: unknown, state:17> zip code tabulation area:62054",606,62054
"ZCTA5 62081: Summary level: unknown, state:17> zip code tabulation area:62081",318,62081
"ZCTA5 62091: Summary level: unknown, state:17> zip code tabulation area:62091",399,62091
"ZCTA5 62092: Summary level: unknown, state:17> zip code tabulation area:62092",2894,62092
"ZCTA5 62956: Summary level: unknown, state:17> zip code tabulation area:62956",940,62956
"ZCTA5 62957: Summary level: unknown, state:17> zip code tabulation area:62957",867,62957
"ZCTA5 62960: Summary level: unknown, state:17> zip code tabulation area:62960",10755,62960
"ZCTA5 62962: Summary level: unknown, state:17> zip code tabulation area:62962",0,62962
"ZCTA5 62963: Summary level: unknown, state:17> zip code tabulation area:62963",744,62963
"ZCTA5 62984: Summary level: unknown, state:17> zip code tabulation area:62984",1673,62984
"ZCTA5 62988: Summary level: unknown, state:17> zip code tabulation area:62988",1444,62988
"ZCTA5 62011: Summary level: unknown, state:17> zip code tabulation area:62011",224,62011
"ZCTA5 62016: Summary level: unknown, state:17> zip code tabulation area:62016",3572,62016
"ZCTA5 62017: Summary level: unknown, state:17> zip code tabulation area:62017",927,62017
"ZCTA5 62021: Summary level: unknown, state:17> zip code tabulation area:62021",1207,62021
"ZCTA5 62028: Summary level: unknown, state:17> zip code tabulation area:62028",1119,62028
"ZCTA5 62838: Summary level: unknown, state:17> zip code tabulation area:62838",1853,62838
"ZCTA5 62818: Summary level: unknown, state:17> zip code tabulation area:62818",251,62818
"ZCTA5 62819: Summary level: unknown, state:17> zip code tabulation area:62819",382,62819
"ZCTA5 62821: Summary level: unknown, state:17> zip code tabulation area:62821",7145,62821
"ZCTA5 62843: Summary level: unknown, state:17> zip code tabulation area:62843",184,62843
"ZCTA5 62859: Summary level: unknown, state:17> zip code tabulation area:62859",5683,62859
"ZCTA5 62865: Summary level: unknown, state:17> zip code tabulation area:62865",1977,62865
"ZCTA5 62881: Summary level: unknown, state:17> zip code tabulation area:62881",10700,62881
"ZCTA5 62883: Summary level: unknown, state:17> zip code tabulation area:62883",828,62883
"ZCTA5 62896: Summary level: unknown, state:17> zip code tabulation area:62896",11971,62896
"ZCTA5 62899: Summary level: unknown, state:17> zip code tabulation area:62899",1815,62899
"ZCTA5 62901: Summary level: unknown, state:17> zip code tabulation area:62901",26255,62901
"ZCTA5 62905: Summary level: unknown, state:17> zip code tabulation area:62905",560,62905
"ZCTA5 62953: Summary level: unknown, state:17> zip code tabulation area:62953",274,62953
"ZCTA5 62231: Summary level: unknown, state:17> zip code tabulation area:62231",7313,62231
"ZCTA5 62238: Summary level: unknown, state:17> zip code tabulation area:62238",632,62238
"ZCTA5 62249: Summary level: unknown, state:17> zip code tabulation area:62249",15574,62249
"ZCTA5 62266: Summary level: unknown, state:17> zip code tabulation area:62266",102,62266
"ZCTA5 62271: Summary level: unknown, state:17> zip code tabulation area:62271",1994,62271
"ZCTA5 62294: Summary level: unknown, state:17> zip code tabulation area:62294",14156,62294
"ZCTA5 62316: Summary level: unknown, state:17> zip code tabulation area:62316",662,62316
"ZCTA5 62321: Summary level: unknown, state:17> zip code tabulation area:62321",3806,62321
"ZCTA5 62330: Summary level: unknown, state:17> zip code tabulation area:62330",1786,62330
"ZCTA5 62344: Summary level: unknown, state:17> zip code tabulation area:62344",5,62344
"ZCTA5 62051: Summary level: unknown, state:17> zip code tabulation area:62051",687,62051
"ZCTA5 62059: Summary level: unknown, state:17> zip code tabulation area:62059",411,62059
"ZCTA5 62078: Summary level: unknown, state:17> zip code tabulation area:62078",107,62078
"ZCTA5 62095: Summary level: unknown, state:17> zip code tabulation area:62095",10471,62095
"ZCTA5 62097: Summary level: unknown, state:17> zip code tabulation area:62097",2893,62097
"ZCTA5 62215: Summary level: unknown, state:17> zip code tabulation area:62215",2103,62215
"ZCTA5 62236: Summary level: unknown, state:17> zip code tabulation area:62236",14067,62236
"ZCTA5 62250: Summary level: unknown, state:17> zip code tabulation area:62250",468,62250
"ZCTA5 62264: Summary level: unknown, state:17> zip code tabulation area:62264",3754,62264
"ZCTA5 62280: Summary level: unknown, state:17> zip code tabulation area:62280",550,62280
"ZCTA5 62281: Summary level: unknown, state:17> zip code tabulation area:62281",2856,62281
"ZCTA5 62246: Summary level: unknown, state:17> zip code tabulation area:62246",9964,62246
"ZCTA5 62262: Summary level: unknown, state:17> zip code tabulation area:62262",1619,62262
"ZCTA5 62274: Summary level: unknown, state:17> zip code tabulation area:62274",7699,62274
"ZCTA5 62297: Summary level: unknown, state:17> zip code tabulation area:62297",452,62297
"ZCTA5 62314: Summary level: unknown, state:17> zip code tabulation area:62314",479,62314
"ZCTA5 62356: Summary level: unknown, state:17> zip code tabulation area:62356",402,62356
"ZCTA5 62361: Summary level: unknown, state:17> zip code tabulation area:62361",362,62361
"ZCTA5 62379: Summary level: unknown, state:17> zip code tabulation area:62379",1947,62379
"ZCTA5 62414: Summary level: unknown, state:17> zip code tabulation area:62414",1888,62414
"ZCTA5 62417: Summary level: unknown, state:17> zip code tabulation area:62417",2920,62417
"ZCTA5 62427: Summary level: unknown, state:17> zip code tabulation area:62427",1781,62427
"ZCTA5 62439: Summary level: unknown, state:17> zip code tabulation area:62439",7107,62439
"ZCTA5 62450: Summary level: unknown, state:17> zip code tabulation area:62450",12216,62450
"ZCTA5 62510: Summary level: unknown, state:17> zip code tabulation area:62510",1496,62510
"ZCTA5 62401: Summary level: unknown, state:17> zip code tabulation area:62401",18886,62401
"ZCTA5 62428: Summary level: unknown, state:17> zip code tabulation area:62428",2915,62428
"ZCTA5 62468: Summary level: unknown, state:17> zip code tabulation area:62468",2492,62468
"ZCTA5 62474: Summary level: unknown, state:17> zip code tabulation area:62474",897,62474
"ZCTA5 62476: Summary level: unknown, state:17> zip code tabulation area:62476",1533,62476
"ZCTA5 62480: Summary level: unknown, state:17> zip code tabulation area:62480",485,62480
"ZCTA5 62520: Summary level: unknown, state:17> zip code tabulation area:62520",1576,62520
"ZCTA5 62530: Summary level: unknown, state:17> zip code tabulation area:62530",1356,62530
"ZCTA5 62942: Summary level: unknown, state:17> zip code tabulation area:62942",624,62942
"ZCTA5 62947: Summary level: unknown, state:17> zip code tabulation area:62947",522,62947
"ZCTA5 62951: Summary level: unknown, state:17> zip code tabulation area:62951",4604,62951
"ZCTA5 62958: Summary level: unknown, state:17> zip code tabulation area:62958",2134,62958
"ZCTA5 62972: Summary level: unknown, state:17> zip code tabulation area:62972",958,62972
"ZCTA5 62975: Summary level: unknown, state:17> zip code tabulation area:62975",169,62975
"ZCTA5 62997: Summary level: unknown, state:17> zip code tabulation area:62997",617,62997
"ZCTA5 61544: Summary level: unknown, state:17> zip code tabulation area:61544",724,61544
"ZCTA5 61569: Summary level: unknown, state:17> zip code tabulation area:61569",1225,61569
"ZCTA5 61602: Summary level: unknown, state:17> zip code tabulation area:61602",828,61602
"ZCTA5 61604: Summary level: unknown, state:17> zip code tabulation area:61604",29606,61604
"ZCTA5 61018: Summary level: unknown, state:17> zip code tabulation area:61018",962,61018
"ZCTA5 61054: Summary level: unknown, state:17> zip code tabulation area:61054",3657,61054
"ZCTA5 61230: Summary level: unknown, state:17> zip code tabulation area:61230",1037,61230
"ZCTA5 60175: Summary level: unknown, state:17> zip code tabulation area:60175",26298,60175
"ZCTA5 60201: Summary level: unknown, state:17> zip code tabulation area:60201",41884,60201
"ZCTA5 60402: Summary level: unknown, state:17> zip code tabulation area:60402",62960,60402
"ZCTA5 60406: Summary level: unknown, state:17> zip code tabulation area:60406",25338,60406
"ZCTA5 60410: Summary level: unknown, state:17> zip code tabulation area:60410",12965,60410
"ZCTA5 60419: Summary level: unknown, state:17> zip code tabulation area:60419",22436,60419
"ZCTA5 60436: Summary level: unknown, state:17> zip code tabulation area:60436",17903,60436
"ZCTA5 60437: Summary level: unknown, state:17> zip code tabulation area:60437",164,60437
"ZCTA5 60438: Summary level: unknown, state:17> zip code tabulation area:60438",28633,60438
"ZCTA5 60440: Summary level: unknown, state:17> zip code tabulation area:60440",52273,60440
"ZCTA5 60443: Summary level: unknown, state:17> zip code tabulation area:60443",21554,60443
"ZCTA5 60444: Summary level: unknown, state:17> zip code tabulation area:60444",1861,60444
"ZCTA5 60445: Summary level: unknown, state:17> zip code tabulation area:60445",25810,60445
"ZCTA5 60457: Summary level: unknown, state:17> zip code tabulation area:60457",13816,60457
"ZCTA5 60941: Summary level: unknown, state:17> zip code tabulation area:60941",2200,60941
"ZCTA5 60610: Summary level: unknown, state:17> zip code tabulation area:60610",40548,60610
"ZCTA5 60622: Summary level: unknown, state:17> zip code tabulation area:60622",53294,60622
"ZCTA5 60660: Summary level: unknown, state:17> zip code tabulation area:60660",44498,60660
"ZCTA5 60706: Summary level: unknown, state:17> zip code tabulation area:60706",23114,60706
"ZCTA5 60712: Summary level: unknown, state:17> zip code tabulation area:60712",12434,60712
"ZCTA5 60915: Summary level: unknown, state:17> zip code tabulation area:60915",10278,60915
"ZCTA5 60918: Summary level: unknown, state:17> zip code tabulation area:60918",717,60918
"ZCTA5 60931: Summary level: unknown, state:17> zip code tabulation area:60931",591,60931
"ZCTA5 60933: Summary level: unknown, state:17> zip code tabulation area:60933",272,60933
"ZCTA5 60934: Summary level: unknown, state:17> zip code tabulation area:60934",233,60934
"ZCTA5 60951: Summary level: unknown, state:17> zip code tabulation area:60951",803,60951
"ZCTA5 60530: Summary level: unknown, state:17> zip code tabulation area:60530",483,60530
"ZCTA5 60460: Summary level: unknown, state:17> zip code tabulation area:60460",1397,60460
"ZCTA5 60515: Summary level: unknown, state:17> zip code tabulation area:60515",28290,60515
"ZCTA5 60553: Summary level: unknown, state:17> zip code tabulation area:60553",688,60553
"ZCTA5 60565: Summary level: unknown, state:17> zip code tabulation area:60565",40560,60565
"ZCTA5 60602: Summary level: unknown, state:17> zip code tabulation area:60602",1145,60602
"ZCTA5 60076: Summary level: unknown, state:17> zip code tabulation area:60076",31788,60076
"ZCTA5 60090: Summary level: unknown, state:17> zip code tabulation area:60090",38553,60090
"ZCTA5 60098: Summary level: unknown, state:17> zip code tabulation area:60098",32972,60098
"ZCTA5 60101: Summary level: unknown, state:17> zip code tabulation area:60101",38856,60101
"ZCTA5 60103: Summary level: unknown, state:17> zip code tabulation area:60103",41755,60103
"ZCTA5 60126: Summary level: unknown, state:17> zip code tabulation area:60126",49027,60126
"ZCTA5 60155: Summary level: unknown, state:17> zip code tabulation area:60155",7755,60155
"ZCTA5 60064: Summary level: unknown, state:17> zip code tabulation area:60064",15490,60064
"ZCTA5 60067: Summary level: unknown, state:17> zip code tabulation area:60067",37840,60067
"ZCTA5 60083: Summary level: unknown, state:17> zip code tabulation area:60083",10094,60083
"ZCTA5 60087: Summary level: unknown, state:17> zip code tabulation area:60087",26429,60087
"ZCTA5 60048: Summary level: unknown, state:17> zip code tabulation area:60048",29033,60048
"ZCTA5 60025: Summary level: unknown, state:17> zip code tabulation area:60025",40935,60025
"ZCTA5 60046: Summary level: unknown, state:17> zip code tabulation area:60046",34596,60046
"ZCTA5 60062: Summary level: unknown, state:17> zip code tabulation area:60062",40686,60062
"ZCTA5 60074: Summary level: unknown, state:17> zip code tabulation area:60074",39217,60074
"ZCTA5 60085: Summary level: unknown, state:17> zip code tabulation area:60085",70700,60085
"ZCTA5 60097: Summary level: unknown, state:17> zip code tabulation area:60097",10728,60097
"ZCTA5 60104: Summary level: unknown, state:17> zip code tabulation area:60104",18904,60104
"ZCTA5 60113: Summary level: unknown, state:17> zip code tabulation area:60113",307,60113
"ZCTA5 60120: Summary level: unknown, state:17> zip code tabulation area:60120",50573,60120
"ZCTA5 60137: Summary level: unknown, state:17> zip code tabulation area:60137",37760,60137
