,OverFifty,TotalPop,TRACTCE
"Census Tract 5039.03, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:503903",1419,3838,503903
"Census Tract 5039.04, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:503904",2349,10835,503904
"Census Tract 5039.05, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:503905",1193,2928,503905
"Census Tract 5039.06, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:503906",2233,5244,503906
"Census Tract 5043.54, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:504354",1907,6439,504354
"Census Tract 5043.55, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:504355",1732,5096,504355
"Census Tract 5046, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:504600",593,1807,504600
"Census Tract 10.03, Sangamon County, Illinois: Summary level: 140, state:17> county:167> tract:001003",562,1315,001003
"Census Tract 10.04, Sangamon County, Illinois: Summary level: 140, state:17> county:167> tract:001004",1794,4665,001004
"Census Tract 8801.15, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880115",845,3264,880115
"Census Tract 8801.16, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880116",1178,3153,880116
"Census Tract 8801.17, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880117",1127,3153,880117
"Census Tract 8801.18, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880118",1831,4730,880118
"Census Tract 8801.19, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880119",1770,4503,880119
"Census Tract 8801.20, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880120",2804,10264,880120
"Census Tract 9724, Cumberland County, Illinois: Summary level: 140, state:17> county:035> tract:972400",1366,3194,972400
"Census Tract 9726, Cumberland County, Illinois: Summary level: 140, state:17> county:035> tract:972600",1836,4473,972600
"Census Tract 9617, Ford County, Illinois: Summary level: 140, state:17> county:053> tract:961700",982,2100,961700
"Census Tract 9618, Ford County, Illinois: Summary level: 140, state:17> county:053> tract:961800",1514,4267,961800
"Census Tract 9616, Ford County, Illinois: Summary level: 140, state:17> county:053> tract:961600",914,1854,961600
"Census Tract 9619, Ford County, Illinois: Summary level: 140, state:17> county:053> tract:961900",749,1716,961900
"Census Tract 9620, Ford County, Illinois: Summary level: 140, state:17> county:053> tract:962000",1344,3461,962000
"Census Tract 203, Jo Daviess County, Illinois: Summary level: 140, state:17> county:085> tract:020300",2527,4586,020300
"Census Tract 201, Jo Daviess County, Illinois: Summary level: 140, state:17> county:085> tract:020100",2098,4453,020100
"Census Tract 205, Jo Daviess County, Illinois: Summary level: 140, state:17> county:085> tract:020500",1366,3283,020500
"Census Tract 202, Jo Daviess County, Illinois: Summary level: 140, state:17> county:085> tract:020200",1970,4788,020200
"Census Tract 8507.02, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:850702",8799,13967,850702
"Census Tract 8507.03, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:850703",986,2139,850703
"Census Tract 8529.05, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:852905",1301,4522,852905
"Census Tract 311, Henry County, Illinois: Summary level: 140, state:17> county:073> tract:031100",1124,2687,031100
"Census Tract 9778, Johnson County, Illinois: Summary level: 140, state:17> county:087> tract:977800",1546,3452,977800
"Census Tract 9776, Johnson County, Illinois: Summary level: 140, state:17> county:087> tract:977600",2082,4039,977600
"Census Tract 9777, Johnson County, Illinois: Summary level: 140, state:17> county:087> tract:977700",1217,2900,977700
"Census Tract 9, Knox County, Illinois: Summary level: 140, state:17> county:095> tract:000900",617,2294,000900
"Census Tract 11, Knox County, Illinois: Summary level: 140, state:17> county:095> tract:001100",681,2449,001100
"Census Tract 15, Knox County, Illinois: Summary level: 140, state:17> county:095> tract:001500",1579,4021,001500
"Census Tract 16, Knox County, Illinois: Summary level: 140, state:17> county:095> tract:001600",1353,3009,001600
"Census Tract 1, Knox County, Illinois: Summary level: 140, state:17> county:095> tract:000100",1213,3011,000100
"Census Tract 6, Knox County, Illinois: Summary level: 140, state:17> county:095> tract:000600",1446,3635,000600
"Census Tract 8, Knox County, Illinois: Summary level: 140, state:17> county:095> tract:000800",702,2663,000800
"Census Tract 3, Knox County, Illinois: Summary level: 140, state:17> county:095> tract:000300",1905,4283,000300
"Census Tract 10, Knox County, Illinois: Summary level: 140, state:17> county:095> tract:001000",1347,3848,001000
"Census Tract 5, Knox County, Illinois: Summary level: 140, state:17> county:095> tract:000500",2163,5484,000500
"Census Tract 7, Knox County, Illinois: Summary level: 140, state:17> county:095> tract:000700",796,1986,000700
"Census Tract 8803.06, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880306",1775,6917,880306
"Census Tract 8803.07, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880307",1496,5894,880307
"Census Tract 8803.08, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880308",2523,9262,880308
"Census Tract 8803.09, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880309",1552,4897,880309
"Census Tract 8803.10, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880310",2704,13376,880310
"Census Tract 8803.12, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880312",3608,11045,880312
"Census Tract 8803.13, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880313",2329,11690,880313
"Census Tract 8803.14, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880314",1642,7303,880314
"Census Tract 8804.08, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880408",1041,5229,880408
"Census Tract 8804.12, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880412",1383,4044,880412
"Census Tract 8804.16, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880416",705,3137,880416
"Census Tract 8804.17, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880417",869,2681,880417
"Census Tract 8802.04, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880204",2359,5520,880204
"Census Tract 8804.10, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880410",1625,8591,880410
"Census Tract 8804.11, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880411",1265,3328,880411
"Census Tract 8804.14, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880414",1442,4373,880414
"Census Tract 7706.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:770602",1426,5211,770602
"Census Tract 7709.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:770901",2328,5243,770901
"Census Tract 7709.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:770902",1427,3473,770902
"Census Tract 8020.03, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:802003",945,2629,802003
"Census Tract 8020.04, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:802004",1899,5186,802004
"Census Tract 8237.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:823702",2292,6149,823702
"Census Tract 8250, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:825000",1733,4834,825000
"Census Tract 8262.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:826201",2126,3502,826201
"Census Tract 8263.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:826301",1315,4006,826301
"Census Tract 8272, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:827200",1430,4377,827200
"Census Tract 8278.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:827802",1199,3439,827802
"Census Tract 8285.04, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:828504",1533,6277,828504
"Census Tract 8288.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:828801",2013,5669,828801
"Census Tract 8292, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:829200",2021,5492,829200
"Census Tract 8293.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:829301",1520,4223,829301
"Census Tract 3404, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:340400",738,2031,340400
"Census Tract 3602, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:360200",334,1503,360200
"Census Tract 1908, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:190800",1789,7338,190800
"Census Tract 1912, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:191200",750,3934,191200
"Census Tract 2101, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:210100",852,3684,210100
"Census Tract 2204, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:220400",723,2643,220400
"Census Tract 2408, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:240800",293,1500,240800
"Census Tract 2430, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:243000",429,2274,243000
"Census Tract 2508, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:250800",860,2427,250800
"Census Tract 2517, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:251700",332,1329,251700
"Census Tract 8184.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:818401",1288,3558,818401
"Census Tract 8165, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:816500",1043,4289,816500
"Census Tract 4206, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:420600",612,2097,420600
"Census Tract 4408, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:440800",588,1693,440800
"Census Tract 4602, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:460200",746,2482,460200
"Census Tract 8415.03, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:841503",916,4021,841503
"Census Tract 8415.04, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:841504",910,3533,841504
"Census Tract 8024.03, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:802403",787,1395,802403
"Census Tract 8024.04, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:802404",2060,7433,802404
"Census Tract 8025.05, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:802505",1665,6665,802505
"Census Tract 8025.06, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:802506",711,2622,802506
"Census Tract 8026.07, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:802607",548,1354,802607
"Census Tract 8026.08, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:802608",3131,6430,802608
"Census Tract 8026.09, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:802609",1959,6671,802609
"Census Tract 8026.10, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:802610",753,1685,802610
"Census Tract 8030.12, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803012",780,2181,803012
"Census Tract 8030.13, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803013",2068,5438,803013
"Census Tract 8030.14, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803014",1372,3494,803014
"Census Tract 8030.15, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803015",2297,4476,803015
"Census Tract 8030.16, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803016",614,2626,803016
"Census Tract 8030.17, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803017",2315,6259,803017
"Census Tract 8036.11, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803611",1343,5958,803611
"Census Tract 8036.12, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803612",503,3369,803612
"Census Tract 8037.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803701",1031,2855,803701
"Census Tract 4023, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:402300",760,1805,402300
"Census Tract 4030.01, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:403001",1621,4996,403001
"Census Tract 4035.31, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:403531",2747,7784,403531
"Census Tract 4009.52, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:400952",1221,3014,400952
"Census Tract 8382, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:838200",244,1976,838200
"Census Tract 8383, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:838300",312,1425,838300
"Census Tract 8386, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:838600",352,1507,838600
"Census Tract 8380, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:838000",814,2577,838000
"Census Tract 8381, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:838100",752,1760,838100
"Census Tract 8387, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:838700",1022,4311,838700
"Census Tract 8388, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:838800",904,3173,838800
"Census Tract 8390, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:839000",1997,8789,839000
"Census Tract 8391, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:839100",983,7352,839100
"Census Tract 8392, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:839200",925,2452,839200
"Census Tract 8395, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:839500",728,1510,839500
"Census Tract 8396, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:839600",689,1367,839600
"Census Tract 8397, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:839700",1392,4510,839700
"Census Tract 8398, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:839800",909,2831,839800
"Census Tract 8399, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:839900",1440,4419,839900
"Census Tract 8400, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:840000",912,2881,840000
"Census Tract 8401, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:840100",1042,3176,840100
"Census Tract 8402, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:840200",799,2488,840200
"Census Tract 8403, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:840300",1124,3872,840300
"Census Tract 8404, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:840400",1124,3135,840400
"Census Tract 8407, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:840700",986,3697,840700
"Census Tract 8408, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:840800",539,3011,840800
"Census Tract 8410, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:841000",312,979,841000
"Census Tract 9769, Moultrie County, Illinois: Summary level: 140, state:17> county:139> tract:976900",1898,4877,976900
"Census Tract 9771, Moultrie County, Illinois: Summary level: 140, state:17> county:139> tract:977100",1234,3034,977100
"Census Tract 9772, Moultrie County, Illinois: Summary level: 140, state:17> county:139> tract:977200",1621,4417,977200
"Census Tract 9770, Moultrie County, Illinois: Summary level: 140, state:17> county:139> tract:977000",892,2375,977000
"Census Tract 5.14, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:000514",1847,3476,000514
"Census Tract 14, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:001400",1029,3983,001400
"Census Tract 26, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:002600",511,3073,002600
"Census Tract 38.01, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003801",2456,5980,003801
"Census Tract 38.07, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003807",2695,7747,003807
"Census Tract 39.03, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003903",2561,6121,003903
"Census Tract 5.07, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:000507",1381,4043,000507
"Census Tract 5.12, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:000512",2666,5019,000512
"Census Tract 40.02, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:004002",2615,6604,004002
"Census Tract 36.02, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003602",1740,3976,003602
"Census Tract 8, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:000800",858,2567,000800
"Census Tract 40.03, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:004003",803,1912,004003
"Census Tract 3, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:000300",1334,4050,000300
"Census Tract 4.03, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:000403",2092,4416,000403
"Census Tract 7, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:000700",1187,3185,000700
"Census Tract 10, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:001000",816,2959,001000
"Census Tract 17, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:001700",915,3060,001700
"Census Tract 22, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:002200",1286,3562,002200
"Census Tract 24, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:002400",543,2384,002400
"Census Tract 31, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003100",975,3526,003100
"Census Tract 36.06, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003606",942,2583,003606
"Census Tract 37.06, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003706",2345,6266,003706
"Census Tract 37.08, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003708",795,2827,003708
"Census Tract 3108, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:310800",1001,4219,310800
"Census Tract 3302, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:330200",1626,3475,330200
"Census Tract 3405, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:340500",803,1712,340500
"Census Tract 3515, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:351500",128,773,351500
"Census Tract 3903, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:390300",932,2843,390300
"Census Tract 4008, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:400800",608,2706,400800
"Census Tract 4108, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:410800",841,3051,410800
"Census Tract 4203, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:420300",315,2737,420300
"Census Tract 2433, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:243300",447,2375,243300
"Census Tract 2503, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:250300",1259,5118,250300
"Census Tract 2515, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:251500",1307,4176,251500
"Census Tract 2519, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:251900",892,4466,251900
"Census Tract 8211.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:821101",1824,4661,821101
"Census Tract 8202.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:820202",1163,3247,820202
"Census Tract 8203, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:820300",1277,5625,820300
"Census Tract 8211.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:821102",1442,4270,821102
"Census Tract 8213, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:821300",1996,5542,821300
"Census Tract 2605, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:260500",442,1713,260500
"Census Tract 8051.07, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:805107",1280,6447,805107
"Census Tract 8407.03, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:840703",1098,4292,840703
"Census Tract 8407.04, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:840704",983,3221,840704
"Census Tract 8407.05, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:840705",1315,3838,840705
"Census Tract 8407.06, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:840706",1193,3432,840706
"Census Tract 8409.04, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:840904",1140,4457,840904
"Census Tract 8409.07, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:840907",1729,4466,840907
"Census Tract 8409.06, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:840906",837,3006,840906
"Census Tract 8409.08, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:840908",1234,4374,840908
"Census Tract 8409.10, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:840910",1721,5075,840910
"Census Tract 8409.11, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:840911",1036,3020,840911
"Census Tract 8077, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:807700",2479,5080,807700
"Census Tract 3904, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:390400",1112,2480,390400
"Census Tract 4201, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:420100",625,1447,420100
"Census Tract 4204, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:420400",397,1131,420400
"Census Tract 4312, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:431200",1084,2828,431200
"Census Tract 4605, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:460500",2137,5647,460500
"Census Tract 4802, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:480200",579,1139,480200
"Census Tract 4905, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:490500",660,2008,490500
"Census Tract 4906, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:490600",671,1498,490600
"Census Tract 2, Knox County, Illinois: Summary level: 140, state:17> county:095> tract:000200",1604,2850,000200
"Census Tract 12, Knox County, Illinois: Summary level: 140, state:17> county:095> tract:001200",730,1454,001200
"Census Tract 14, Knox County, Illinois: Summary level: 140, state:17> county:095> tract:001400",883,1584,001400
"Census Tract 4, Knox County, Illinois: Summary level: 140, state:17> county:095> tract:000400",2520,4569,000400
"Census Tract 13, Knox County, Illinois: Summary level: 140, state:17> county:095> tract:001300",1476,3859,001300
"Census Tract 8645.21, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:864521",1650,2721,864521
"Census Tract 8645.15, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:864515",1187,2989,864515
"Census Tract 8645.17, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:864517",1210,2824,864517
"Census Tract 8645.19, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:864519",2049,4851,864519
"Census Tract 8602, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:860200",1274,3493,860200
"Census Tract 8606, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:860600",2664,7075,860600
"Census Tract 8608.09, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:860809",1607,3204,860809
"Census Tract 8612.02, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:861202",1490,4336,861202
"Census Tract 8615.10, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:861510",1551,4970,861510
"Census Tract 8628, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:862800",413,1694,862800
"Census Tract 8649.03, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:864903",1882,4883,864903
"Census Tract 8656, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:865600",1553,3764,865600
"Census Tract 8616.03, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:861603",2721,5765,861603
"Census Tract 8609.04, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:860904",1892,5263,860904
"Census Tract 8610.09, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:861009",1443,4903,861009
"Census Tract 8610.13, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:861013",1133,2948,861013
"Census Tract 8611.06, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:861106",2497,8364,861106
"Census Tract 8616.08, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:861608",1471,3556,861608
"Census Tract 8608.08, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:860808",1356,2670,860808
"Census Tract 8609.03, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:860903",2256,6016,860903
"Census Tract 8609.05, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:860905",2137,6157,860905
"Census Tract 8609.06, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:860906",2237,9246,860906
"Census Tract 8614.02, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:861402",2563,9109,861402
"Census Tract 8615.09, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:861509",1190,3560,861509
"Census Tract 8616.07, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:861607",1487,4681,861607
"Census Tract 8626.04, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:862604",1111,5129,862604
"Census Tract 8439, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:843900",1486,3521,843900
"Census Tract 9801, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:980100",0,0,980100
"Census Tract 9800, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:980000",0,0,980000
"Census Tract 9900, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:990000",0,0,990000
"Census Tract 8801, Crawford County, Illinois: Summary level: 140, state:17> county:033> tract:880100",1243,2644,880100
"Census Tract 8802, Crawford County, Illinois: Summary level: 140, state:17> county:033> tract:880200",1394,3356,880200
"Census Tract 8803, Crawford County, Illinois: Summary level: 140, state:17> county:033> tract:880300",1335,3316,880300
"Census Tract 8804, Crawford County, Illinois: Summary level: 140, state:17> county:033> tract:880400",1126,2603,880400
"Census Tract 8805, Crawford County, Illinois: Summary level: 140, state:17> county:033> tract:880500",1282,4198,880500
"Census Tract 8806, Crawford County, Illinois: Summary level: 140, state:17> county:033> tract:880600",1235,2971,880600
"Census Tract 10.01, DeKalb County, Illinois: Summary level: 140, state:17> county:037> tract:001001",1021,6429,001001
"Census Tract 10.02, DeKalb County, Illinois: Summary level: 140, state:17> county:037> tract:001002",226,6305,001002
"Census Tract 22, DeKalb County, Illinois: Summary level: 140, state:17> county:037> tract:002200",33,4186,002200
"Census Tract 8403.03, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:840303",1168,3941,840303
"Census Tract 8403.04, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:840304",2064,4003,840304
"Census Tract 4804, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:480400",2855,5584,480400
"Census Tract 5202, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:520200",901,3989,520200
"Census Tract 5206, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:520600",847,2809,520600
"Census Tract 5603, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:560300",1003,3145,560300
"Census Tract 5608, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:560800",2025,5886,560800
"Census Tract 5802, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:580200",852,3784,580200
"Census Tract 5804, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:580400",1230,4712,580400
"Census Tract 5907, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:590700",717,3393,590700
"Census Tract 6104, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:610400",343,1981,610400
"Census Tract 6108, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:610800",478,1509,610800
"Census Tract 6120, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:612000",447,1373,612000
"Census Tract 6121, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:612100",342,1042,612100
"Census Tract 6405, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:640500",1353,3970,640500
"Census Tract 8009, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:800900",1964,4406,800900
"Census Tract 8223.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:822301",1259,3798,822301
"Census Tract 9608, Livingston County, Illinois: Summary level: 140, state:17> county:105> tract:960800",2412,5230,960800
"Census Tract 9610, Livingston County, Illinois: Summary level: 140, state:17> county:105> tract:961000",903,2500,961000
"Census Tract 9605, Livingston County, Illinois: Summary level: 140, state:17> county:105> tract:960500",990,2954,960500
"Census Tract 9601, Livingston County, Illinois: Summary level: 140, state:17> county:105> tract:960100",1852,4092,960100
"Census Tract 9701, Massac County, Illinois: Summary level: 140, state:17> county:127> tract:970100",1995,4711,970100
"Census Tract 8466.04, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846604",1259,3890,846604
"Census Tract 8467.01, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846701",1244,4596,846701
"Census Tract 8467.02, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846702",1361,4094,846702
