,reportDate,ZCTA5CE10,cases,total_tested,pop
1133,2021-07-14T00:00:00,62615,614,10068,5519
1134,2021-07-14T00:00:00,62617,72,1052,659
1135,2021-07-14T00:00:00,62618,1405,13595,7238
1136,2021-07-14T00:00:00,62621,89,1645,1286
1137,2021-07-14T00:00:00,62624,48,734,427
1138,2021-07-14T00:00:00,62625,114,1218,759
1139,2021-07-14T00:00:00,62626,995,20033,7603
1140,2021-07-14T00:00:00,62627,127,1658,910
1141,2021-07-14T00:00:00,62628,89,1211,735
1142,2021-07-14T00:00:00,62629,1390,26721,14597
1143,2021-07-14T00:00:00,62630,57,546,430
1144,2021-07-14T00:00:00,62631,31,282,261
1145,2021-07-14T00:00:00,62633,87,1130,562
1146,2021-07-14T00:00:00,62634,88,1433,843
1147,2021-07-14T00:00:00,62635,113,1291,666
1148,2021-07-14T00:00:00,62638,132,1683,1242
1149,2021-07-14T00:00:00,62639,24,491,294
1150,2021-07-14T00:00:00,62640,274,5313,3668
1151,2021-07-14T00:00:00,62642,139,2344,1334
1152,2021-07-14T00:00:00,62643,64,831,490
1153,2021-07-14T00:00:00,62644,587,9260,4921
1154,2021-07-14T00:00:00,62649,51,753,603
1155,2021-07-14T00:00:00,62650,3187,56532,26524
1156,2021-07-14T00:00:00,62655,51,764,367
1157,2021-07-14T00:00:00,62656,2971,82319,19280
1158,2021-07-14T00:00:00,62661,114,1546,1646
1159,2021-07-14T00:00:00,62663,18,299,258
1160,2021-07-14T00:00:00,62664,367,5740,3182
1161,2021-07-14T00:00:00,62665,101,1824,1399
1162,2021-07-14T00:00:00,62666,59,1002,580
1163,2021-07-14T00:00:00,62667,46,634,486
1164,2021-07-14T00:00:00,62668,133,1579,1349
1165,2021-07-14T00:00:00,62670,348,4645,2784
1166,2021-07-14T00:00:00,62671,43,952,596
1167,2021-07-14T00:00:00,62672,22,301,176
1168,2021-07-14T00:00:00,62673,49,699,416
1169,2021-07-14T00:00:00,62674,90,1589,1393
1170,2021-07-14T00:00:00,62675,603,11658,5943
1171,2021-07-14T00:00:00,62677,218,3908,2295
1172,2021-07-14T00:00:00,62681,646,13903,5501
1173,2021-07-14T00:00:00,62682,105,1401,963
1174,2021-07-14T00:00:00,62684,771,11187,5840
1175,2021-07-14T00:00:00,62685,200,2367,2310
1176,2021-07-14T00:00:00,62688,58,1039,699
1177,2021-07-14T00:00:00,62689,38,854,567
1178,2021-07-14T00:00:00,62690,393,9440,3957
1179,2021-07-14T00:00:00,62691,287,4013,2020
1180,2021-07-14T00:00:00,62692,190,2767,2152
1181,2021-07-14T00:00:00,62693,196,2571,1565
1182,2021-07-14T00:00:00,62694,335,6711,3018
1183,2021-07-14T00:00:00,62695,60,743,200
1184,2021-07-14T00:00:00,62701,86,4729,1147
1185,2021-07-14T00:00:00,62702,3143,67240,33563
1186,2021-07-14T00:00:00,62703,2932,69115,29830
1187,2021-07-14T00:00:00,62704,3295,70656,40672
1188,2021-07-14T00:00:00,62707,782,16038,7097
1189,2021-07-14T00:00:00,62711,1891,35042,16880
1190,2021-07-14T00:00:00,62712,1080,18445,10395
1191,2021-07-14T00:00:00,62801,2734,78616,21185
1192,2021-07-14T00:00:00,62803,123,1017,1142
1193,2021-07-14T00:00:00,62806,323,2737,3419
